h,beta,se,lb,ub,nobs,shock,outcome,outcome_label,specification
10,0.38709658123066,0.400482017524692,-0.271637717823673,1.04583088028499,127,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
11,0.607586008079354,0.38295217147567,-0.022314260121343,1.23748627628005,126,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
12,0.777273504933918,0.342636024137272,0.213687397907494,1.34085961196034,125,Israel,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
0,-0.040836473297175,0.276174808321183,-0.495103608436901,0.413430661842551,137,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
1,-0.0910692959727348,0.386146925709772,-0.726224467262614,0.544085875317144,136,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
2,-0.425817618947115,0.44695670902569,-1.16099598287831,0.309360744984085,135,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
3,-0.662848093511688,0.55579821036975,-1.57705479569151,0.251358608668132,134,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
4,-0.831802063361775,0.527919231138577,-1.7001519254375,0.0365477987139472,133,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
5,-1.24722940068596,0.594421795061306,-2.22496624623156,-0.26949255514037,132,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
6,-1.05084845659226,0.691196272772374,-2.18776515279724,0.0860682396127208,131,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
7,-0.992488549982033,0.579772088620672,-1.94612877275498,-0.0388483272090905,130,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
8,-0.76755553950737,0.505303806000881,-1.5987063375203,0.0635952585055616,129,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
9,-0.400238894650819,0.589030048498467,-1.36910710630693,0.568629317005286,128,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
10,0.631823576116499,0.647300064038639,-0.432890281943377,1.69653743417638,127,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
11,1.15296677775417,0.646160828906203,0.0901267947338331,2.21580676077451,126,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
12,1.45240070383763,0.535423615772029,0.571707227479537,2.33309418019572,125,Israel,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
0,-0.0061138355071262,0.135900734775978,-0.229650652008763,0.217422980994511,137,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
1,-0.0814981899996901,0.158300419514114,-0.341879209185421,0.17888282918604,136,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
2,-0.0351395260014237,0.226352387432788,-0.407456071439371,0.337177019436523,135,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
3,0.146436153985812,0.233367513057823,-0.237419246279993,0.530291554251618,134,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
4,0.138544868259703,0.221338119062701,-0.225523939663197,0.502613676182603,133,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
5,0.277041924248006,0.210349393314131,-0.0689520382717847,0.623035886767796,132,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
6,0.408934279955887,0.193766612803761,0.0902165641035194,0.727651995808255,131,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
7,0.639672025144048,0.220842471093475,0.27641848558102,1.00292556470708,130,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
8,0.895072422741028,0.265156220961327,0.458929250984043,1.33121559449801,129,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
9,0.822737784734714,0.241264678400543,0.425892703412301,1.21958286605713,128,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
10,0.474692028137278,0.300926418514863,-0.0202878828024116,0.969671939076967,127,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
11,0.418481991168909,0.323923130388942,-0.114324144704818,0.951288127042636,126,Israel,WorldCP,World crude-oil production,level_change_y_tph_minus_y_tm1
