h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
8,4.94446991710983,4.15135219534161,-1.88389679815077,11.7728366323704,4.04673819310304,5.43084055201404,-4.88619958627239,12.9796759724785,132,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,4.14587050002516,3.25032480108918,-1.20043803781669,9.49217903786701,-0.976877689093066,5.52957292422726,-10.0722157690009,8.1184603908148,131,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,1.80152353007172,2.38556966977276,-2.12238939359943,5.72543645374286,-6.81837083593671,5.5067693115097,-15.8762003107585,2.23945863888508,130,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,2.06831175443898,1.96484997299343,-1.16357885005477,5.30020235893272,-3.62551820959681,4.17986542339788,-10.5007850114419,3.24974859224824,129,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,2.09900778575423,2.21435637696282,-1.5432843322562,5.74129990376465,-7.85540929285677,4.73476074882729,-15.6433976833128,-0.0674209024007277,128,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,-0.0781036964614538,1.44446182384026,-2.45403196639805,2.29782457347514,1.64865072065458,2.54680568463849,-2.54047184686367,5.83777328817283,140,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-0.587152225815528,2.21784017568343,-4.23517468278711,3.06087023115605,3.40276704409414,2.58106378345581,-0.842705081516238,7.64823916970451,139,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.585021168389408,1.8639229273827,-3.65090155585285,2.48085921907404,3.34640341893871,3.02836462826201,-1.6348131235896,8.32761996146702,138,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,3.58878266709115,2.34970308098965,-0.27613496793372,7.45370030211602,6.64130878017561,4.29738976443282,-0.42726836027585,13.7098859206271,137,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,4.36996818967125,3.30325441778526,-1.06340182016631,9.80333819950882,5.440182160077,4.27464934373831,-1.59099031691669,12.4713546370707,136,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,7.31602409999711,3.80040820634651,1.06490887789192,13.5671393221023,9.45553451283174,5.64384918308147,0.172228714073071,18.7388403115904,135,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,6.23086388514851,3.35892812873164,0.705918769934945,11.7558090003621,3.7595872977362,4.22448453031978,-3.18907140396068,10.7082459994331,134,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,5.69680440048604,3.83702871402454,-0.614546196494178,12.0081549974663,5.9734234964059,5.37030020120007,-2.85993426735626,14.8067812601681,133,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,5.13886909242875,3.87063663334032,-1.22776161253231,11.5054997973898,4.61286828629485,4.8208128633338,-3.31666323681407,12.5423998094038,132,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,4.45690230934692,3.0429951348077,-0.548379274937204,9.46218389363104,-0.640535530134981,4.877346081017,-8.66305592139335,7.38198486112339,131,n_OilSpecificRealizedShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
