h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
2,-1.43260191001936,1.26338590086959,-3.51068679130405,0.645482971265338,0.197316428644432,1.45084123378443,-2.18910503687663,2.5837378941655,138,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
3,0.195699385045877,1.14317857480926,-1.68466203998234,2.0760608100741,1.49245652989344,1.95071460408296,-1.71618346177962,4.7010965215665,137,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
4,1.34355563124125,1.83501741491044,-1.6747794191933,4.36189068167581,0.431980444966652,1.91460824040942,-2.71726986346196,3.58123075339526,136,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
5,2.83341744804687,1.93876806228577,-0.355572231021553,6.0224071271153,0.697842148954514,2.21322232417113,-2.94258461820834,4.33826891611737,135,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
6,2.57406557651029,1.62564346195117,-0.0998799680100406,5.24801112103062,1.05977167446756,2.16400589714835,-2.49970127420127,4.6192446231364,134,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
7,2.91744905174862,1.62419486475546,0.245886237579645,5.58901186591759,3.90369850547616,2.18590289974919,0.308208192659972,7.49918881829236,133,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
8,3.07011409497612,1.76346775798996,0.169467757234346,5.97076043271789,4.65149478375447,2.32511649351105,0.827018486318136,8.4759710811908,132,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
9,3.30962022825258,1.95858548077345,0.0880337965078741,6.53120665999729,4.1816279364415,2.74647880076672,-0.335927680344964,8.69918355322797,131,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
10,2.5416398512888,1.23824595597782,0.504906499540693,4.57837320303692,3.24999468139247,2.31170078475429,-0.552414738837189,7.05240410162213,130,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
11,1.46160164157486,1.05553884795763,-0.274605260876424,3.19780854402615,1.91328526455568,1.70571815470908,-0.892371428774525,4.71894195788589,129,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
12,1.69025078471573,1.04062835402518,-0.021430537711123,3.40193210714259,0.7614322689852,2.35469698345369,-3.1116996046203,4.6345641425907,128,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_level_lp,World
0,0.0938224714922419,0.123295366315932,-0.108980358978829,0.296625301963313,-0.0654902311012415,0.183858239941701,-0.367910123914262,0.236929661711779,140,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
1,-0.0328322750869905,0.211005810671942,-0.37990594807857,0.314241397904589,-0.119389079591559,0.324447964839951,-0.653058491315576,0.414280332132458,139,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
2,-0.0966692464515862,0.179388801202892,-0.39173756674464,0.198399073841468,0.00391403153198578,0.260554502829301,-0.424659987465327,0.432488050529299,138,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
3,-0.280610110195445,0.193193237476348,-0.598384707560914,0.0371644871700242,0.37011288897273,0.318862005625256,-0.154368437476994,0.894594215422453,137,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
4,-0.543906272347472,0.221531237301911,-0.908292731506568,-0.179519813188376,0.0642389380607168,0.340609867752676,-0.496014438287733,0.624492314409167,136,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
5,-0.767181720901146,0.289355357479525,-1.24312893012918,-0.291234511673109,-0.444522476514056,0.419230916484555,-1.13409597002387,0.245051016995755,135,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
6,-0.711157065552343,0.289621988811964,-1.1875428442946,-0.234771286810085,-0.411923662815179,0.476228256991118,-1.1952494385838,0.37140211295344,134,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
7,-0.614077390088915,0.2514011954891,-1.0275955583091,-0.200559221868732,-0.61258340104854,0.43133889259403,-1.32207274297706,0.0969059408799818,133,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
8,-0.536368272376771,0.233119545224235,-0.919815801852131,-0.152920742901411,-1.09569349854002,0.489029720237543,-1.9000758075598,-0.291311189520231,132,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
9,-0.398441226878698,0.19530186014036,-0.719684199880939,-0.0771982538764578,-1.15722026921128,0.336007678461821,-1.70990371781275,-0.604536820609808,131,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
10,-0.258448752608588,0.218066943400659,-0.617136955379384,0.100239450162208,-0.71469329711223,0.362446446020278,-1.31086464842435,-0.118521945800104,130,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
11,0.065354266854661,0.226546252945088,-0.307281158974333,0.437989692683655,-0.21505618894434,0.439460351610884,-0.937904142192871,0.507791764304191,129,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
12,0.321395907034602,0.307599726738548,-0.184560619140581,0.827352433209785,0.133368205503955,0.458139777717116,-0.620204669524785,0.886941080532694,128,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_level_lp,World
