variant,shock,outcome,horizon,beta,se,lb,ub,nobs
without_oil,World,Real_WTI,1,0.983917690565218,1.88058313399208,-2.10936629816543,4.07720167929587,155
without_oil,World,Real_WTI,2,-0.272243696628871,1.50519410551458,-2.74806768035051,2.20358028709277,154
without_oil,World,Real_WTI,3,0.801537323201374,1.48797930697149,-1.64597083669942,3.24904548310217,153
without_oil,World,Real_WTI,4,1.29704686347395,1.5731802296683,-1.2906043431443,3.88469807009219,152
without_oil,World,Real_WTI,5,3.22400974396596,1.67394119104149,0.470621504577893,5.97739798335402,151
without_oil,World,Real_WTI,6,3.0520779041767,1.86257911596382,-0.0115921102004624,6.11574791855386,150
without_oil,World,Real_WTI,7,4.09518881468074,1.96060594272497,0.870279018766954,7.32009861059452,149
without_oil,World,Real_WTI,8,3.47205687801152,2.01447277450959,0.158544028464433,6.78556972755862,148
without_oil,World,Real_WTI,9,4.22239877669475,1.86315678983999,1.15777857334717,7.28701898004233,147
without_oil,World,Real_WTI,10,3.22357910214082,1.57787900081341,0.628199104762317,5.81895909951933,146
without_oil,World,Real_WTI,11,3.54524123548995,1.75066449208736,0.665654396104901,6.424828074875,145
without_oil,World,Real_WTI,12,3.94246010056772,1.96208769726455,0.715113035325268,7.16980716581017,144
without_oil,World,Real_Gasoline,0,-0.253169912903338,0.733488352224792,-1.45965088938695,0.953311063580271,156
without_oil,World,Real_Gasoline,1,-0.0707027136304322,1.04394972711463,-1.78784720862993,1.64644178136907,155
without_oil,World,Real_Gasoline,2,-0.410411407225405,0.726544255344644,-1.6054703607698,0.784647546318989,154
without_oil,World,Real_Gasoline,3,-0.397078050420883,0.841332035341192,-1.78094610022231,0.986789999380541,153
without_oil,World,Real_Gasoline,4,-0.0952299431705209,0.878791318829361,-1.54071303128046,1.35025314493942,152
without_oil,World,Real_Gasoline,5,1.3456477825154,0.734209672203779,0.137980340248162,2.55331522478264,151
without_oil,World,Real_Gasoline,6,1.44765242698153,1.06465388204497,-0.303547372348105,3.19885222631116,150
without_oil,World,Real_Gasoline,7,2.06162201762643,0.997238724489046,0.421310284714158,3.70193375053869,149
without_oil,World,Real_Gasoline,8,1.75132037036535,1.19696513503394,-0.217512073329686,3.72015281406038,148
without_oil,World,Real_Gasoline,9,2.14892860898558,1.10235054647001,0.335723314452455,3.96213390351871,147
without_oil,World,Real_Gasoline,10,2.07426282150771,0.875033959939021,0.634960038796298,3.51356560421911,146
without_oil,World,Real_Gasoline,11,1.27495294539152,1.18539582639252,-0.674849679023363,3.22475556980639,145
without_oil,World,Real_Gasoline,12,1.40202004601984,1.03953979661044,-0.307870758795239,3.11191085083491,144
without_oil,World,Headline_Pi,0,-0.0163344055902947,0.0411334906082216,-0.0839929768064023,0.0513241656258129,150
without_oil,World,Headline_Pi,1,-0.0148607898775638,0.0663346105073455,-0.123971514562984,0.0942499348078567,149
without_oil,World,Headline_Pi,2,-0.0474791509378623,0.0756738756162022,-0.171951599710647,0.0769932978349224,148
without_oil,World,Headline_Pi,3,-0.0651860505282217,0.0879540451056803,-0.209857580625353,0.07948547956891,147
